metric,estimator,estimate,config,null_model_avg,seed,model,percent_change
mae,standard,102.52436163717115,Preprocessor1_Model1,107.73925103305784,4605,taxaHFE_ML_no_supplement_use,-4.840287403043662
mae,standard,88.32241229666796,Preprocessor1_Model1,108.69388946280992,4657,taxaHFE_ML_no_supplement_use,-18.742062931800916
mae,standard,94.1052621835184,Preprocessor1_Model1,106.6218388429752,4661,taxaHFE_ML_no_supplement_use,-11.739224154528307
mae,standard,82.18038968001892,Preprocessor1_Model1,104.88361570247936,4761,taxaHFE_ML_no_supplement_use,-21.64611304673372
mae,standard,109.57149896399986,Preprocessor1_Model1,107.6332438016529,4957,taxaHFE_ML_no_supplement_use,1.800796012353571
mae,standard,89.08683530303034,Preprocessor1_Model1,106.74700929752066,5041,taxaHFE_ML_no_supplement_use,-16.543952013932913
mae,standard,94.59969895426576,Preprocessor1_Model1,105.28333161157023,5055,taxaHFE_ML_no_supplement_use,-10.147506251721218
mae,standard,104.43150942705944,Preprocessor1_Model1,106.05485020661158,5114,taxaHFE_ML_no_supplement_use,-1.5306615174974207
mae,standard,96.95923925126822,Preprocessor1_Model1,107.28815082644628,5274,taxaHFE_ML_no_supplement_use,-9.627262186563863
mae,standard,90.65534814574316,Preprocessor1_Model1,105.30466425619836,5367,taxaHFE_ML_no_supplement_use,-13.911364908599408
mae,standard,85.59375128549854,Preprocessor1_Model1,105.93331095041324,5508,taxaHFE_ML_no_supplement_use,-19.200343576946754
mae,standard,117.17956804791594,Preprocessor1_Model1,104.98665805785124,5881,taxaHFE_ML_no_supplement_use,11.613770945395729
mae,standard,99.59665747633684,Preprocessor1_Model1,107.59185950413224,5898,taxaHFE_ML_no_supplement_use,-7.431047353065155
mae,standard,103.41242538651616,Preprocessor1_Model1,107.11113119834712,6124,taxaHFE_ML_no_supplement_use,-3.4531479319191787
mae,standard,107.63937755821232,Preprocessor1_Model1,105.60767561983472,6135,taxaHFE_ML_no_supplement_use,1.923820334509862
mae,standard,110.1901198873255,Preprocessor1_Model1,103.92710743801652,6142,taxaHFE_ML_no_supplement_use,6.026351164487394
mae,standard,103.00181813833488,Preprocessor1_Model1,105.86348140495868,6204,taxaHFE_ML_no_supplement_use,-2.7031637620881717
mae,standard,89.58728916666671,Preprocessor1_Model1,107.32833161157023,6245,taxaHFE_ML_no_supplement_use,-16.52969181437551
mae,standard,109.7707254823946,Preprocessor1_Model1,106.46195247933883,6326,taxaHFE_ML_no_supplement_use,3.1079394337595856
mae,standard,108.23624340545818,Preprocessor1_Model1,102.51552685950412,6426,taxaHFE_ML_no_supplement_use,5.58034155527895
mae,standard,101.52055113636366,Preprocessor1_Model1,106.4677117768595,6430,taxaHFE_ML_no_supplement_use,-4.646630004469666
mae,standard,92.12775547619052,Preprocessor1_Model1,104.70009814049588,6468,taxaHFE_ML_no_supplement_use,-12.007956905097341
mae,standard,88.87974933073235,Preprocessor1_Model1,106.77469008264464,6566,taxaHFE_ML_no_supplement_use,-16.759534247359024
mae,standard,111.94081049321892,Preprocessor1_Model1,100.61547520661158,6666,taxaHFE_ML_no_supplement_use,11.256057046245644
mae,standard,97.7924391661621,Preprocessor1_Model1,103.69986570247934,6684,taxaHFE_ML_no_supplement_use,-5.696657846468171
mae,standard,89.92767638167386,Preprocessor1_Model1,108.531451446281,6765,taxaHFE_ML_no_supplement_use,-17.14136760975256
mae,standard,98.43761785719856,Preprocessor1_Model1,102.8558367768595,7108,taxaHFE_ML_no_supplement_use,-4.29554516118132
mae,standard,94.9619807939788,Preprocessor1_Model1,105.43212809917355,7147,taxaHFE_ML_no_supplement_use,-9.930699013630958
mae,standard,97.63548958907982,Preprocessor1_Model1,103.68672520661156,7191,taxaHFE_ML_no_supplement_use,-5.836075549183104
mae,standard,88.85357583006626,Preprocessor1_Model1,107.11145661157023,7214,taxaHFE_ML_no_supplement_use,-17.045684335817114
mae,standard,96.95959772727278,Preprocessor1_Model1,105.90106921487605,7233,taxaHFE_ML_no_supplement_use,-8.44323060559548
mae,standard,98.50921532251834,Preprocessor1_Model1,107.80593491735536,7580,taxaHFE_ML_no_supplement_use,-8.623569381373978
mae,standard,112.66911115389856,Preprocessor1_Model1,104.68011363636364,7620,taxaHFE_ML_no_supplement_use,7.631819683810225
mae,standard,101.58725957759415,Preprocessor1_Model1,105.93642045454546,7649,taxaHFE_ML_no_supplement_use,-4.105444433831341
mae,standard,101.87585679965868,Preprocessor1_Model1,110.37144111570248,7671,taxaHFE_ML_no_supplement_use,-7.6972668202618415
mae,standard,85.56722170271269,Preprocessor1_Model1,108.72372417355372,7749,taxaHFE_ML_no_supplement_use,-21.298481676250095
mae,standard,92.10570261617802,Preprocessor1_Model1,108.06129132231403,7837,taxaHFE_ML_no_supplement_use,-14.765313750087747
mae,standard,93.08464584108415,Preprocessor1_Model1,108.89360020661158,8019,taxaHFE_ML_no_supplement_use,-14.517799333966341
mae,standard,105.405654301948,Preprocessor1_Model1,108.0042923553719,8209,taxaHFE_ML_no_supplement_use,-2.406050719607948
mae,standard,93.71192704904573,Preprocessor1_Model1,106.7815237603306,8279,taxaHFE_ML_no_supplement_use,-12.239567531007864
mae,standard,98.17210708378988,Preprocessor1_Model1,108.27181818181818,8280,taxaHFE_ML_no_supplement_use,-9.328107043578136
mae,standard,89.51711553061845,Preprocessor1_Model1,109.05756198347107,8510,taxaHFE_ML_no_supplement_use,-17.917552985288815
mae,standard,97.91008386363636,Preprocessor1_Model1,105.84534090909092,8650,taxaHFE_ML_no_supplement_use,-7.497030079264465
mae,standard,89.57805191370632,Preprocessor1_Model1,107.38875516528924,9063,taxaHFE_ML_no_supplement_use,-16.58525906569014
mae,standard,94.04720899749876,Preprocessor1_Model1,108.09582128099174,9219,taxaHFE_ML_no_supplement_use,-12.996443448978527
mae,standard,105.1705279991473,Preprocessor1_Model1,107.14092458677686,9241,taxaHFE_ML_no_supplement_use,-1.8390699867758546
mae,standard,103.55482557384528,Preprocessor1_Model1,108.47232954545454,9350,taxaHFE_ML_no_supplement_use,-4.533417869991093
mae,standard,86.48163009862613,Preprocessor1_Model1,105.665402892562,9352,taxaHFE_ML_no_supplement_use,-18.155207162217007
mae,standard,98.67812729754168,Preprocessor1_Model1,104.87165289256198,9368,taxaHFE_ML_no_supplement_use,-5.9058147976035
mae,standard,89.31568179292931,Preprocessor1_Model1,102.93681818181818,9508,taxaHFE_ML_no_supplement_use,-13.232521297510615
mae,standard,106.04270871212132,Preprocessor1_Model1,105.06550619834712,9515,taxaHFE_ML_no_supplement_use,0.9300888075762921
mae,standard,96.47990959360088,Preprocessor1_Model1,106.2888429752066,9570,taxaHFE_ML_no_supplement_use,-9.228563513381927
mae,standard,103.40916752394078,Preprocessor1_Model1,107.2660847107438,9618,taxaHFE_ML_no_supplement_use,-3.59565392659168
mae,standard,90.75720372234744,Preprocessor1_Model1,101.66585227272728,9674,taxaHFE_ML_no_supplement_use,-10.729904197445236
mae,standard,106.17258108937276,Preprocessor1_Model1,107.74996900826449,9728,taxaHFE_ML_no_supplement_use,-1.4639335244456024
mae,standard,101.75437831349198,Preprocessor1_Model1,104.8782902892562,9908,taxaHFE_ML_no_supplement_use,-2.9786068853224155
mae,standard,114.97800834164627,Preprocessor1_Model1,136.39447530864197,1147,taxaHFE_ML_full_data,-15.701858098382045
mae,standard,148.87183425145,Preprocessor1_Model1,138.2673726851852,1303,taxaHFE_ML_full_data,7.66953284807807
mae,standard,136.3615486111112,Preprocessor1_Model1,133.71882523148147,1389,taxaHFE_ML_full_data,1.9763285947621019
mae,standard,125.1459573737913,Preprocessor1_Model1,134.13301697530864,1475,taxaHFE_ML_full_data,-6.700109938757047
mae,standard,112.1289355632716,Preprocessor1_Model1,138.31283950617285,1512,taxaHFE_ML_full_data,-18.930927914130976
mae,standard,132.26426944444452,Preprocessor1_Model1,131.4220216049383,1535,taxaHFE_ML_full_data,0.6408726857345651
mae,standard,133.17711262704822,Preprocessor1_Model1,137.79514467592594,1551,taxaHFE_ML_full_data,-3.35137501378489
mae,standard,131.68638805555557,Preprocessor1_Model1,136.6383198302469,1583,taxaHFE_ML_full_data,-3.6241164124700758
mae,standard,136.1279571296297,Preprocessor1_Model1,140.55551697530865,1659,taxaHFE_ML_full_data,-3.150043442589838
mae,standard,146.45687387385416,Preprocessor1_Model1,141.2638676697531,1707,taxaHFE_ML_full_data,3.6761036560610716
mae,standard,118.68773157076716,Preprocessor1_Model1,143.60332175925927,1728,taxaHFE_ML_full_data,-17.35028819894663
mae,standard,135.16270578703703,Preprocessor1_Model1,132.82936728395063,1794,taxaHFE_ML_full_data,1.7566435426123763
mae,standard,131.03212175925924,Preprocessor1_Model1,141.13853973765433,1912,taxaHFE_ML_full_data,-7.160636632050117
mae,standard,147.41936296176428,Preprocessor1_Model1,134.89319830246913,1944,taxaHFE_ML_full_data,9.285986852508236
mae,standard,95.07336666666662,Preprocessor1_Model1,136.70778935185186,1976,taxaHFE_ML_full_data,-30.45504786711794
mae,standard,113.63178472222232,Preprocessor1_Model1,135.38945601851853,2002,taxaHFE_ML_full_data,-16.07043261427995
mae,standard,128.69917784722222,Preprocessor1_Model1,134.17400462962962,2033,taxaHFE_ML_full_data,-4.08039306683882
mae,standard,115.50360501633398,Preprocessor1_Model1,135.38570794753088,2127,taxaHFE_ML_full_data,-14.68552569736701
mae,standard,121.98670282055836,Preprocessor1_Model1,138.6077083333333,2138,taxaHFE_ML_full_data,-11.991400559630934
mae,standard,114.03700555555557,Preprocessor1_Model1,135.69046682098767,2307,taxaHFE_ML_full_data,-15.957982732861298
mae,standard,108.36598054894182,Preprocessor1_Model1,141.1945273919753,2482,taxaHFE_ML_full_data,-23.250580209739255
mae,standard,121.21058055555552,Preprocessor1_Model1,137.6363638117284,2515,taxaHFE_ML_full_data,-11.934188612132731
mae,standard,125.18003486111114,Preprocessor1_Model1,133.59392939814813,2521,taxaHFE_ML_full_data,-6.298111429869828
